日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2026-04-15,26.8,1.28,28248617.0,3.4,22016387.0,2.65,6232230.0,0.75,14370091.0,1.73,-42618712.0,-5.13
2026-04-16,26.7,-0.37,-16181043.0,-3.83,-7585683.0,-1.8,-8595360.0,-2.03,-189014.0,-0.04,16370058.0,3.87
2026-04-17,26.15,-2.06,18580843.0,3.49,29231700.0,5.48,-10650857.0,-2.0,30419140.0,5.71,-48999983.0,-9.19
2026-04-20,25.87,-1.07,-20429594.0,-5.22,-9503669.0,-2.43,-10925925.0,-2.79,-13041129.0,-3.33,33470723.0,8.56
2026-04-21,25.63,-0.93,-23507053.0,-6.8,256232.0,0.07,-23763285.0,-6.87,-9088288.0,-2.63,32595340.0,9.43
2026-04-22,25.59,-0.16,-8026155.0,-1.78,-19173671.0,-4.24,11147516.0,2.47,-16611962.0,-3.68,24638116.0,5.45
2026-04-23,25.57,-0.08,-31203077.0,-7.77,-31704253.0,-7.9,501176.0,0.12,-8446612.0,-2.1,39649690.0,9.88
2026-04-24,25.38,-0.74,6795713.0,2.18,6354344.0,2.04,441369.0,0.14,-6343124.0,-2.04,-452589.0,-0.15
2026-04-27,25.37,-0.04,13189493.0,4.5,-4414796.0,-1.5,17604289.0,6.0,-6135597.0,-2.09,-7053895.0,-2.4
2026-04-28,25.3,-0.28,-8435193.0,-1.34,24548134.0,3.9,-32983327.0,-5.24,22375711.0,3.55,-13940518.0,-2.21
2026-04-29,25.28,-0.08,-10886237.0,-1.71,-44328418.0,-6.96,33442181.0,5.25,23459388.0,3.68,-12573150.0,-1.97
2026-04-30,24.89,-1.54,28091155.0,4.07,63687918.0,9.22,-35596763.0,-5.16,-18101944.0,-2.62,-9989211.0,-1.45
2026-05-06,24.77,-0.48,28511051.0,4.9,-2098639.0,-0.36,30609690.0,5.26,25477120.0,4.38,-53988171.0,-9.27
2026-05-07,24.73,-0.16,12314115.0,2.4,-10162847.0,-1.98,22476962.0,4.39,14794008.0,2.89,-27108123.0,-5.29
2026-05-08,24.82,0.36,6083509.0,1.26,8152099.0,1.69,-2068590.0,-0.43,16528446.0,3.42,-22611954.0,-4.68
2026-05-11,25.39,2.3,47273087.0,4.76,-13784206.0,-1.39,61057293.0,6.15,19663712.0,1.98,-66936793.0,-6.74
2026-05-12,25.32,-0.28,-2868892.0,-0.37,-21691186.0,-2.77,18822294.0,2.4,22474044.0,2.87,-19605148.0,-2.5
2026-05-13,24.97,-1.38,-55739738.0,-11.45,-17513144.0,-3.6,-38226594.0,-7.85,26024663.0,5.34,29715075.0,6.1
2026-05-14,24.5,-1.88,-46015318.0,-8.58,-22345127.0,-4.17,-23670191.0,-4.41,7123285.0,1.33,38892033.0,7.25
2026-05-15,24.13,-1.51,-37441226.0,-8.14,-29051985.0,-6.32,-8389241.0,-1.82,707739.0,0.15,36733487.0,7.99
2026-05-18,24.06,-0.29,-44374994.0,-13.08,-31872223.0,-9.39,-12502771.0,-3.68,25757266.0,7.59,18617729.0,5.49
2026-05-19,24.19,0.54,16612120.0,6.58,5321624.0,2.11,11290496.0,4.48,8102693.0,3.21,-24714814.0,-9.8
2026-05-20,24.02,-0.7,-18072587.0,-6.85,-12202113.0,-4.62,-5870474.0,-2.22,20970690.0,7.94,-2898103.0,-1.1
2026-05-21,23.71,-1.29,14078153.0,2.99,13851178.0,2.94,226975.0,0.05,-10802777.0,-2.29,-3275375.0,-0.69
2026-05-22,23.4,-1.31,-26562879.0,-5.26,-36913574.0,-7.32,10350695.0,2.05,4235801.0,0.84,22327078.0,4.43
2026-05-25,23.3,-0.43,-30396930.0,-8.75,-20094604.0,-5.79,-10302326.0,-2.97,17316599.0,4.99,13080332.0,3.77
2026-05-26,23.17,-0.56,-19468833.0,-7.25,-3184281.0,-1.19,-16284552.0,-6.07,7034112.0,2.62,12434721.0,4.63
2026-05-27,23.32,0.65,-54359687.0,-10.34,-47683714.0,-9.07,-6675973.0,-1.27,26488593.0,5.04,27871095.0,5.3
